Packet_count,Satellite_Status,Error_Code,Mission_Time,Pressure1,Pressure2,Altitude1,Altitude2,Altitude_Difference,Descent_rate,Temperature,Battery_Voltage,Gps_Latitude,Gps_Longitude,Gps_Altitude,Pitch,Roll,Yaw,LNLN,Iot_Data,Team_Number
655, 1, 11011, 19/9/2024; 12:6:5, 90903.78, 90931.05, 3.17, 2.52, 0.65, -0.14, 33.69, 3.80, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.67, 335592
656, 1, 11011, 19/9/2024; 12:6:6, 90895.09, 90931.14, 3.98, 2.51, 1.47, 0.81, 33.71, 3.86, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.67, 335592
657, 1, 11011, 19/9/2024; 12:6:7, 90899.03, 90931.58, 3.61, 2.47, 1.14, -0.37, 33.73, 3.71, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.68, 335592
658, 1, 11011, 19/9/2024; 12:6:8, 90898.62, 90930.05, 3.65, 2.62, 1.03, 0.04, 33.74, 3.89, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.69, 335592
659, 1, 11011, 19/9/2024; 12:6:9, 90899.15, 90931.05, 3.6, 2.52, 1.08, -0.05, 33.77, 3.73, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.7, 335592
660, 1, 11011, 19/9/2024; 12:6:10, 90903.55, 90931.22, 3.19, 2.51, 0.68, -0.41, 33.77, 3.78, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.7, 335592
661, 1, 11011, 19/9/2024; 12:6:11, 90907.54, 90931.51, 2.82, 2.48, 0.34, -0.37, 33.79, 3.73, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.71, 335592
662, 1, 11011, 19/9/2024; 12:6:12, 90904.64, 90933.97, 3.09, 2.25, 0.84, 0.27, 33.83, 3.88, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.7, 335592
663, 1, 11011, 19/9/2024; 12:6:14, 90905.68, 90932.73, 2.99, 2.37, 0.62, -0.1, 33.86, 3.75, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.72, 335592
664, 1, 11011, 19/9/2024; 12:6:15, 90901.34, 90930.7, 3.4, 2.55, 0.85, 0.41, 33.85, 3.88, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.73, 335592
665, 1, 11011, 19/9/2024; 12:6:16, 90901.39, 90933.55, 3.39, 2.29, 1.1, -0.01, 33.88, 3.94, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.73, 335592
666, 1, 11011, 19/9/2024; 12:6:17, 90903.88, 90930.38, 3.16, 2.58, 0.58, -0.23, 33.91, 3.96, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.73, 335592
667, 1, 11011, 19/9/2024; 12:6:18, 90901.5, 90932.78, 3.38, 2.36, 1.02, 0.22, 33.92, 3.94, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.73, 335592
668, 1, 11011, 19/9/2024; 12:6:19, 90898.6, 90933.8, 3.65, 2.27, 1.38, 0.27, 33.95, 3.88, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.72, 335592
669, 1, 11011, 19/9/2024; 12:6:20, 90902.54, 90931.2, 3.29, 2.51, 0.78, -0.36, 33.96, 3.88, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.71, 335592
670, 1, 11011, 19/9/2024; 12:6:21, 90905.03, 90931.2, 3.06, 2.51, 0.55, -0.23, 33.98, 3.91, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.69, 335592
671, 1, 11011, 19/9/2024; 12:6:22, 90910.41, 90931.82, 2.56, 2.45, 0.11, -0.5, 33.98, 3.89, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.7, 335592
672, 1, 11011, 19/9/2024; 12:6:23, 90904.15, 90930.65, 3.14, 2.56, 0.58, 0.58, 34.02, 3.91, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.7, 335592
673, 1, 11011, 19/9/2024; 12:6:24, 90909.53, 90930.92, 2.64, 2.53, 0.11, -0.5, 34.04, 3.91, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.7, 335592
674, 1, 11011, 19/9/2024; 12:6:25, 90900.37, 90931.84, 3.49, 2.45, 1.04, 0.85, 34.06, 3.96, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.7, 335592
675, 1, 11011, 19/9/2024; 12:6:26, 90901.35, 90931.82, 3.4, 2.45, 0.95, -0.09, 34.09, 3.94, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.71, 335592
676, 1, 11011, 19/9/2024; 12:6:27, 90902.85, 90930.85, 3.26, 2.54, 0.72, -0.14, 34.09, 3.92, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.73, 335592
677, 1, 11011, 19/9/2024; 12:6:28, 90900.0, 90932.43, 3.52, 2.39, 1.13, 0.26, 34.12, 3.88, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.77, 335592
678, 1, 11011, 19/9/2024; 12:6:29, 90901.97, 90932.33, 3.34, 2.4, 0.94, -0.18, 34.12, 3.94, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.76, 335592
679, 1, 11011, 19/9/2024; 12:6:30, 90904.45, 90931.84, 3.11, 2.45, 0.66, -0.23, 34.15, 3.86, 0.0000000, 0.0000000, 0.00, -0.25, -10.5, 352.0, 0N0N, 27.76, 335592
680, 1, 11011, 19/9/2024; 12:6:31, 90901.6, 90931.57, 3.37, 2.47, 0.9, 0.26, 34.18, 3.78, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.77, 335592
681, 1, 11011, 19/9/2024; 12:6:32, 90903.1, 90931.66, 3.23, 2.47, 0.76, -0.14, 34.2, 3.73, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.79, 335592
682, 1, 11011, 19/9/2024; 12:6:33, 90900.66, 90930.8, 3.46, 2.55, 0.91, 0.23, 34.23, 3.83, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.81, 335592
683, 1, 11011, 19/9/2024; 12:6:34, 90905.11, 90928.47, 3.05, 2.76, 0.29, -0.41, 34.23, 3.70, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.82, 335592
684, 1, 11011, 19/9/2024; 12:6:35, 90900.29, 90929.3, 3.5, 2.68, 0.82, 0.45, 34.26, 3.83, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.82, 335592
685, 1, 11011, 19/9/2024; 12:6:36, 90906.66, 90930.48, 2.9, 2.58, 0.32, -0.6, 34.28, 3.80, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.84, 335592
686, 1, 11011, 19/9/2024; 12:6:37, 90898.42, 90929.13, 3.67, 2.7, 0.97, 0.77, 34.3, 3.78, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.84, 335592
687, 1, 11011, 19/9/2024; 12:6:38, 90898.46, 90932.27, 3.66, 2.41, 1.25, -0.01, 34.33, 3.89, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.84, 335592
688, 1, 11011, 19/9/2024; 12:6:39, 90901.88, 90930.72, 3.35, 2.55, 0.8, -0.31, 34.34, 3.70, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.86, 335592
689, 1, 11011, 19/9/2024; 12:6:40, 90900.99, 90929.84, 3.43, 2.63, 0.8, 0.08, 34.37, 3.70, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.87, 335592
690, 1, 11011, 19/9/2024; 12:6:41, 90907.36, 90930.18, 2.84, 2.6, 0.24, -0.59, 34.38, 3.76, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.87, 335592
691, 1, 11011, 19/9/2024; 12:6:42, 90903.98, 90928.6, 3.15, 2.75, 0.4, 0.31, 34.4, 3.73, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.87, 335592
692, 1, 11011, 19/9/2024; 12:6:43, 90900.14, 90931.1, 3.51, 2.52, 0.99, 0.36, 34.43, 3.80, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.87, 335592
693, 1, 11011, 19/9/2024; 12:6:44, 90903.55, 90930.0, 3.19, 2.62, 0.57, -0.32, 34.43, 3.92, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.88, 335592
694, 1, 11011, 19/9/2024; 12:6:45, 90909.92, 90931.78, 2.6, 2.45, 0.15, -0.59, 34.47, 3.81, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.91, 335592
695, 1, 11011, 19/9/2024; 12:6:46, 90901.2, 90931.45, 3.41, 2.49, 0.92, 0.81, 34.47, 3.73, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.9, 335592
696, 1, 11011, 19/9/2024; 12:6:47, 90910.01, 90931.08, 2.59, 2.52, 0.07, -0.82, 34.48, 3.92, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.91, 335592
697, 1, 11011, 19/9/2024; 12:6:48, 90906.63, 90931.7, 2.91, 2.46, 0.45, 0.32, 34.52, 3.86, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.92, 335592
698, 1, 11011, 19/9/2024; 12:6:49, 90904.24, 90930.23, 3.13, 2.6, 0.53, 0.22, 34.53, 3.91, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.92, 335592
699, 1, 11011, 19/9/2024; 12:6:50, 90899.4, 90932.34, 3.58, 2.4, 1.18, 0.45, 34.55, 3.88, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.93, 335592
700, 1, 11011, 19/9/2024; 12:6:51, 90902.35, 90932.98, 3.3, 2.34, 0.96, -0.28, 34.57, 3.92, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.94, 335592
701, 1, 11011, 19/9/2024; 12:6:52, 90903.85, 90933.15, 3.17, 2.33, 0.84, -0.13, 34.59, 3.83, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.95, 335592
702, 1, 11011, 19/9/2024; 12:6:53, 90895.12, 90932.46, 3.97, 2.39, 1.58, 0.79, 34.61, 3.83, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.94, 335592
703, 1, 11011, 19/9/2024; 12:6:54, 90901.02, 90931.41, 3.43, 2.49, 0.94, -0.54, 34.64, 3.76, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.94, 335592
704, 1, 11011, 19/9/2024; 12:6:55, 90898.11, 90931.85, 3.7, 2.45, 1.25, 0.27, 34.66, 3.91, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.95, 335592
705, 1, 11011, 19/9/2024; 12:6:56, 90890.36, 90931.94, 4.42, 2.44, 1.98, 0.72, 34.67, 3.89, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.97, 335592
706, 1, 11011, 19/9/2024; 12:6:57, 90898.18, 90929.49, 3.69, 2.67, 1.02, -0.73, 34.7, 3.78, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.98, 335592
707, 1, 11011, 19/9/2024; 12:6:58, 90904.04, 90931.8, 3.15, 2.45, 0.7, -0.54, 34.71, 3.89, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.0, 335592
708, 1, 11011, 19/9/2024; 12:6:59, 90899.71, 90931.02, 3.55, 2.53, 1.02, 0.4, 34.73, 3.84, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.0, 335592
709, 1, 11011, 19/9/2024; 12:7:0, 90903.64, 90928.38, 3.18, 2.77, 0.41, -0.37, 34.75, 3.89, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.01, 335592
710, 1, 11011, 19/9/2024; 12:7:1, 90900.26, 90931.27, 3.5, 2.5, 1.0, 0.32, 34.78, 3.78, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.02, 335592
711, 1, 11011, 19/9/2024; 12:7:2, 90907.61, 90932.8, 2.82, 2.36, 0.46, -0.68, 34.79, 3.76, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.04, 335592
712, 1, 11011, 19/9/2024; 12:7:3, 90901.78, 90929.17, 3.36, 2.7, 0.66, 0.54, 34.79, 3.78, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.05, 335592
713, 1, 11011, 19/9/2024; 12:7:4, 90905.71, 90931.15, 2.99, 2.51, 0.48, -0.37, 34.81, 3.73, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.07, 335592
714, 1, 11011, 19/9/2024; 12:7:5, 90895.01, 90929.46, 3.98, 2.67, 1.31, 0.98, 34.86, 3.73, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.07, 335592
715, 1, 11011, 19/9/2024; 12:7:6, 90899.45, 90931.33, 3.57, 2.5, 1.07, -0.41, 34.88, 3.68, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.08, 335592
716, 1, 11011, 19/9/2024; 12:7:7, 90895.08, 90931.03, 3.98, 2.52, 1.46, 0.41, 34.91, 3.75, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 28.09, 335592
